WshedID,BASINID,Ditch_ID,AreaM2,CellCount,RainMeanMM,BFQ95,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E
31,207,,157100,1571,3026,0.543,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
31,208,,548800,5488,3430,0,474,84,0,529,0,40,0,31,,474,84,0,529,0,40,0,31
31,209,,2000,20,3996,0.093,7,0,0,4,0,0,0,0,,7,0,0,4,0,0,0,0
31,210,,201100,2011,4227,1.2,205,7,0,100,0,3,0,2,,205,7,0,100,0,3,0,2
32,211,,666000,6660,2218,0.793,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,212,,436200,4362,2637,0.015,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,213,,39600,396,2893,0.129,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,214,,157400,1574,2975,2.256,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
33,215,,1005400,10054,2047,3.993,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,216,,1097100,10971,2023,1.059,427,750,28,469,230,577,11,705,,427,750,28,469,230,577,11,705
34,217,,538200,5382,2613,0.041,603,489,0,880,13,557,0,349,,603,489,0,880,13,557,0,349
34,218,,81200,812,2915,0.31,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,219,,361800,3618,3251,0.018,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,220,,37900,379,2911,0.669,56,35,0,83,0,44,0,22,,56,35,0,83,0,44,0,22
34,221,,614700,6147,3473,1.364,852,347,0,977,0,209,0,225,,852,347,0,977,0,209,0,225
34,222,,1021700,10217,3503,0.003,1174,440,0,1237,0,282,0,296,,1174,440,0,1237,0,282,0,296
34,223,,17100,171,3981,0.017,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,224,,62000,620,4026,0.001,159,19,0,84,0,11,0,18,,159,19,0,84,0,11,0,18
34,225,,10200,102,4036,0.01,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,226,,40500,405,4056,0.091,35,4,0,18,0,2,0,4,,35,4,0,18,0,2,0,4
34,227,,197700,1977,4246,1.367,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,228,,1526000,15260,4724,2.723,1126,55,0,533,0,22,0,39,,1126,55,0,533,0,22,0,39
34,229,,3627000,36270,4875,6.541,3227,61,0,1089,0,26,0,73,,3227,61,0,1089,0,26,0,73
35,230,,2063200,20632,2016,0.5,896,1669,55,1058,308,871,15,1056,,896,1669,55,1058,308,871,15,1056
35,231,,319800,3198,2479,0.062,214,232,0,271,11,154,0,116,,214,232,0,271,11,154,0,116
35,232,,100700,1007,2769,0.158,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,233,,187900,1879,2859,3.102,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,234,,1809100,18091,3374,0.006,1210,382,0,1096,0,173,0,182,,1210,382,0,1096,0,173,0,182
35,235,,31700,317,3916,0.002,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,236,,13500,135,3975,0.037,32,3,0,14,0,1,0,2,,32,3,0,14,0,1,0,2
35,237,,108100,1081,4139,1.751,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,238,,1759400,17594,4479,0.458,2036,66,0,738,0,10,0,44,,2036,66,0,738,0,10,0,44
36,239,,160200,1602,1876,2.777,0,294,61,16,178,106,43,314,,0,294,61,16,178,106,43,314
36,240,,1263900,12639,2243,0.137,669,1372,25,650,670,1013,50,1138,,669,1372,25,650,670,1013,50,1138
36,241,,207700,2077,2774,1.758,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,242,,1271600,12716,3135,0.142,3036,590,0,2862,18,378,0,202,,3036,590,0,2862,18,378,0,202
36,243,,172100,1721,2791,0.006,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,244,,23800,238,2686,1.934,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,245,,1265700,12657,3165,1,2370,368,0,2159,0,144,0,120,,2370,368,0,2159,0,144,0,120
36,246,,857100,8571,3304,0.856,2508,328,0,1958,0,115,0,116,,2508,328,0,1958,0,115,0,116
36,247,,464500,4645,2040,0.454,942,1114,4,1383,411,1386,3,980,,942,1114,4,1383,411,1386,3,980
